,VIX,DXY,VIX_ret,DXY_ret,rolling_corr,rolling_corr_mean,rolling_corr_std,corr_z_score
2012-08-14,31.600000000000005,82.483,0.07239819004524928,0.0005822769454721932,,,,
2012-08-15,27.333333333333332,82.645,-0.13502109704641363,0.001964041075130485,,,,
2012-08-16,25.866666666666664,82.357,-0.0536585365853659,-0.0034847843184705463,,,,
2012-08-17,24.53333333333333,82.596,-0.05154639175257725,0.002901999830008384,,,,
2012-08-20,24.8,82.456,0.010869565217391353,-0.0016949973364327464,,,,
2012-08-21,24.666666666666668,81.907,-0.005376344086021501,-0.006658096439313144,,,,
2012-08-22,27.06666666666667,81.486,0.09729729729729741,-0.005139975826241816,,,,
2012-08-23,30.0,81.359,0.10837438423645307,-0.0015585499349582976,,,,
2012-08-24,33.86666666666666,81.593,0.1288888888888886,0.0028761415454960915,,,,
2012-08-27,33.33333333333333,81.658,-0.015748031496062964,0.0007966369664063055,,,,
2012-08-28,35.46666666666667,81.37,0.06400000000000028,-0.0035269048960296923,,,,
2012-08-29,38.66666666666667,81.549,0.09022556390977443,0.0021998279464177095,,,,
2012-08-30,43.6,81.691,0.12758620689655165,0.0017412843811694945,,,,
2012-08-31,46.0,81.208,0.05504587155963292,-0.005912524023454324,,,,
2012-09-03,44.8,81.208,-0.026086956521739202,0.0,,,,
2012-09-04,47.46666666666667,81.312,0.059523809523809534,0.001280662003743549,,,,
2012-09-05,47.066666666666656,81.235,-0.00842696629213513,-0.0009469696969697239,,,,
2012-09-06,45.199999999999996,81.04,-0.03966005665722372,-0.002400443158736887,,,,
2012-09-07,30.266666666666662,80.252,-0.3303834808259587,-0.009723593287265686,,,,
2012-09-10,27.866666666666664,80.357,-0.07929515418502198,0.001308378607386862,,,,
2012-09-11,31.2,79.857,0.11961722488038284,-0.006222233283970313,,,,
2012-09-12,34.0,79.737,0.08974358974358987,-0.0015026860513167595,,,,
2012-09-13,24.4,79.262,-0.2823529411764706,-0.005957083913365135,,,,
2012-09-14,18.8,78.847,-0.2295081967213114,-0.005235800257374357,,,,
2012-09-17,14.0,79.01,-0.25531914893617025,0.0020672948875672947,,,,
2012-09-18,15.066666666666668,79.249,0.07619047619047636,0.0030249335527148258,,,,
2012-09-19,15.866666666666665,79.055,0.05309734513274322,-0.00244798041615657,,,,
2012-09-20,15.466666666666665,79.411,-0.025210084033613467,0.004503193978875331,,,,
2012-09-21,18.8,79.328,0.2155172413793105,-0.0010451952500283301,,,,
2012-09-24,17.6,79.518,-0.06382978723404253,0.002395118999596546,,,,
2012-09-25,19.866666666666667,79.552,0.12878787878787867,0.0004275761462815275,,,,
2012-09-26,24.266666666666666,79.885,0.2214765100671141,0.004185941271118265,,,,
2012-09-27,32.66666666666667,79.548,0.3461538461538465,-0.004218564186017404,,,,
2012-09-28,21.866666666666667,79.935,-0.33061224489795926,0.004864987177553237,,,,
2012-10-01,24.666666666666664,79.824,0.12804878048780477,-0.0013886282604617106,,,,
2012-10-02,25.866666666666667,79.744,0.04864864864864882,-0.0010022048506714842,,,,
2012-10-03,24.93333333333333,79.965,-0.03608247422680422,0.0027713683788122,,,,
2012-10-04,23.599999999999998,79.353,-0.053475935828877,-0.0076533483398988356,,,,
2012-10-05,17.866666666666667,79.337,-0.2429378531073445,-0.0002016306881906793,,,,
2012-10-08,14.133333333333331,79.54,-0.20895522388059717,0.0025587052699245216,,,,
2012-10-09,20.8,79.951,0.4716981132075475,0.0051672114659289115,,,,
2012-10-10,26.133333333333333,79.917,0.2564102564102564,-0.00042526047203905737,,,,
2012-10-11,27.6,79.775,0.056122448979591955,-0.0017768434751053164,,,,
2012-10-12,23.866666666666667,79.667,-0.13526570048309183,-0.001353807583829525,,,,
2012-10-15,24.8,79.742,0.03910614525139655,0.0009414186551521819,,,,
2012-10-16,21.46666666666667,79.405,-0.13440860215053763,-0.004226129266885703,,,,
2012-10-17,17.999999999999996,79.016,-0.16149068322981386,-0.004898935835274787,,,,
2012-10-18,12.399999999999999,79.367,-0.311111111111111,0.004442138301103515,,,,
2012-10-19,10.933333333333334,79.621,-0.11827956989247301,0.003200322552194157,,,,
2012-10-22,22.133333333333333,79.652,1.024390243902439,0.00038934451966188277,,,,
2012-10-23,19.200000000000003,79.976,-0.13253012048192758,0.0040676944709485685,0.08276894899953148,,,
2012-10-24,30.26666666666667,79.914,0.5763888888888888,-0.0007752325697708562,0.06957577357421318,,,
2012-10-25,29.333333333333332,80.044,-0.030837004405286472,0.0016267487549115334,0.07340760928621232,,,
2012-10-26,26.53333333333334,80.068,-0.09545454545454524,0.00029983509070019565,0.06007062287350568,,,
2012-10-29,30.666666666666668,80.232,0.1557788944723617,0.002048258979867157,0.06377759486729066,,,
2012-10-30,32.13333333333334,79.931,0.04782608695652191,-0.0037516203011267457,0.060746504212705096,,,
2012-10-31,31.2,79.919,-0.0290456431535272,-0.0001501294866822489,0.06836664364916915,,,
2012-11-01,34.8,80.047,0.11538461538461542,0.0016016216419123541,0.08313634420285554,,,
2012-11-02,25.066666666666666,80.593,-0.27969348659003823,0.0068209926668083565,0.031092225884848286,,,
2012-11-05,25.2,80.749,0.005319148936170137,0.00193565197970047,0.03136032048129413,,,
2012-11-06,30.4,80.613,0.20634920634920628,-0.0016842313836703537,0.024781080468634396,,,
2012-11-07,24.933333333333334,80.759,-0.17982456140350878,0.0018111222755634593,0.023136818594367507,,,
2012-11-08,35.46666666666666,80.793,0.42245989304812803,0.00042100570834224804,0.02402895251160995,,,
2012-11-09,39.33333333333333,81.026,0.10902255639097747,0.00288391321030268,0.03482729011366117,,,
2012-11-12,42.533333333333346,81.035,0.08135593220339032,0.00011107545726063428,0.034707215356137064,,,
2012-11-13,36.266666666666666,81.084,-0.14733542319749238,0.0006046769914236361,0.027458048460031376,,,
2012-11-14,37.2,81.056,0.02573529411764719,-0.00034532090178096553,0.035573159094046986,,,
